order_id,customer_fullname,gender,age,city,state,order_date,product,category,quantity,unit_price,payment_mode,delivery_status,rating,Total_amount,is_delivered
81,Rachel Garcia,F,-5,Ahmedabad,unknown,2024-02-27,Laptop,Electronics,1,1499,Crypto,Cancelled,0,1499,0
82,Karen Richardson,Male,30,Mumbai,Karnataka,17/11/2023,Headphones,unknown,2,29999,unknown,unknown,3,59998,0
83,Brittany Stevens,Female,41,Bengaluru,Rajasthan,05-13-2024,Keyboard,Accessories,0,500,UPI,Pending,3,0,0
84,Kristen Gray,Female,-5,Mumbai,Karnataka,2024-04-29,Phone,Electronics,3,500,unknown,unknown,4,1500,0
86,Jeffrey Evans,Unknown,41,Bengaluru,Karnataka,05-17-2023,Laptop,Electronics,0,1499,unknown,unknown,5,0,0
88,Austin Clark,M,-5,Delhi,Gujarat,17/01/2024,Headphones,Accessories,1,1499,Crypto,Cancelled,3,1499,0
89,Jeffrey Lawrence,Male,30,Ahmedabad,Delhi,02-21-2023,Headphones,Accessories,1,500,Cash,Cancelled,0,500,0
90,John Pugh,Unknown,150,Ahmedabad,Maharashtra,2023-07-23,Phone,Electronics,0,599,Crypto,Delivered,4,0,1
91,Stacy Sutton,Female,49,Jaipur,Gujarat,17/12/2023,Monitor,Electronics,1,599,unknown,Pending,5,599,0
92,Kathryn Wagner,Male,41,Mumbai,Maharashtra,01-24-2023,Tablet,Electronics,0,1499,Card,unknown,0,0,0
93,Jennifer Moore,Female,30,unknown,Rajasthan,2024-02-10,Mouse,Accessories,0,500,Crypto,Pending,8,0,0
94,Daniel Wilson,M,41,Ahmedabad,Maharashtra,15/03/2023,Keyboard,Accessories,1,500,Cash,Pending,3,500,0
95,Robert Collins,F,41,Ahmedabad,Maharashtra,04-28-2024,Tablet,Electronics,0,29999,Card,unknown,3,0,0
96,Henry Powers,M,150,Mumbai,Karnataka,2023-02-24,Keyboard,Accessories,3,29999,UPI,unknown,5,89997,0
97,Edward Reynolds,F,-5,Mumbai,Delhi,17/10/2023,Laptop,Electronics,0,29999,Card,Pending,0,0,0
98,Christopher Cantrell,Male,22,Mumbai,Gujarat,12-14-2023,Mouse,Accessories,1,29999,unknown,Pending,3,29999,0
99,Tammy Campbell,Female,30,Delhi,Karnataka,2023-06-17,Printer,Electronics,3,29999,Card,Cancelled,8,89997,0
100,Leslie English,Male,-5,Jaipur,Delhi,18/01/2024,Tablet,Electronics,2,500,Crypto,Cancelled,3,1000,0
101,Albert Dixon,F,22,Ahmedabad,Maharashtra,01-08-2023,Monitor,Electronics,3,500,unknown,Cancelled,3,1500,0
103,Vincent Stokes PhD,Male,30,Jaipur,Rajasthan,04/06/2023,Printer,Electronics,3,500,UPI,Delivered,4,1500,1
104,Ashley Bishop,M,49,Mumbai,Karnataka,03-11-2023,Printer,Electronics,0,1499,unknown,Delivered,8,0,1
105,Pamela Harrell,Male,41,Delhi,Gujarat,2023-07-28,Monitor,Electronics,0,1499,Cash,Delivered,5,0,1
106,Cassandra Black,Male,-5,Mumbai,Delhi,06/04/2024,Tablet,Electronics,1,500,UPI,Pending,0,500,0
107,Wendy West,Female,30,Bengaluru,Delhi,01-26-2023,Tablet,Electronics,1,1499,Crypto,Pending,4,1499,0
108,Brianna Miller,F,22,Mumbai,unknown,2024-02-01,Mouse,Accessories,2,1499,Crypto,Cancelled,4,2998,0
109,Melissa Shelton,Female,22,Mumbai,Delhi,05/12/2023,Laptop,Electronics,0,29999,UPI,Pending,5,0,0
110,Maria Russo,F,22,Jaipur,Gujarat,03-06-2023,Printer,Electronics,0,29999,Crypto,Delivered,8,0,1
111,Charles Lucas,F,41,Ahmedabad,Rajasthan,2023-04-24,unknown,Electronics,1,500,unknown,unknown,3,500,0
112,Martha Crawford,Male,22,Mumbai,Karnataka,31/12/2023,Headphones,Accessories,2,599,Card,Cancelled,0,1198,0
113,Jacob Campbell,M,150,Bengaluru,Maharashtra,10-27-2023,Tablet,Electronics,0,500,UPI,Delivered,0,0,1
114,Christopher Duran,M,-5,Delhi,Gujarat,2024-03-19,Keyboard,Accessories,3,500,unknown,unknown,3,1500,0
115,Christopher Gallagher,M,41,Mumbai,Maharashtra,18/02/2023,Tablet,Electronics,2,500,UPI,Delivered,3,1000,1
117,Reginald Armstrong DDS,Male,49,Mumbai,Karnataka,2024-03-23,Printer,Electronics,3,29999,UPI,Pending,4,89997,0
118,Erik Johnson,Male,41,Bengaluru,Maharashtra,04/09/2023,Keyboard,Accessories,1,29999,Crypto,Pending,8,29999,0
120,Stephanie Jones,F,-5,Jaipur,Delhi,2024-03-21,Mouse,Accessories,1,599,unknown,Pending,8,599,0
121,Laura Ford,Female,41,Mumbai,Maharashtra,21/08/2023,Tablet,Electronics,0,599,UPI,Pending,4,0,0
122,Melissa Tapia,Unknown,-5,Ahmedabad,Gujarat,01-26-2023,Phone,Electronics,0,500,unknown,Cancelled,4,0,0
123,Jerry Perez,M,22,Mumbai,Karnataka,2023-02-28,Tablet,unknown,0,29999,UPI,Pending,8,0,0
124,Melissa Ryan,Female,41,unknown,Delhi,29/01/2023,Laptop,Electronics,2,29999,Cash,Cancelled,3,59998,0
125,William Bates,Female,30,Ahmedabad,Karnataka,09-12-2023,Printer,Electronics,2,29999,UPI,unknown,3,59998,0
126,Amy Henry,Male,41,Bengaluru,Gujarat,2023-01-10,Headphones,Accessories,0,500,unknown,unknown,5,0,0
127,Andrew Brady,Unknown,30,Bengaluru,Gujarat,27/07/2023,Laptop,Electronics,3,599,unknown,Delivered,4,1797,1
128,Lisa Sanchez,F,22,Ahmedabad,Maharashtra,10-29-2023,Printer,Electronics,3,1499,Cash,Pending,3,4497,0
129,Ryan Hamilton,F,150,Delhi,Maharashtra,2023-11-21,Phone,Electronics,3,1499,Card,Delivered,4,4497,1
130,Christina Scott,F,49,Delhi,Rajasthan,12/04/2023,Mouse,Accessories,2,500,unknown,unknown,0,1000,0
131,Kelly Williams,Unknown,30,Ahmedabad,Rajasthan,11-22-2023,Tablet,Electronics,0,500,unknown,Cancelled,5,0,0
132,Pamela Wright,F,22,Mumbai,Gujarat,2023-01-29,Tablet,Electronics,0,599,UPI,Cancelled,5,0,0
133,Kathleen Friedman,F,150,Bengaluru,Gujarat,27/11/2023,Phone,Electronics,0,599,unknown,Pending,3,0,0
134,Michael Wade,F,30,Jaipur,Gujarat,11-06-2023,Headphones,Accessories,1,29999,unknown,Delivered,0,29999,1
135,Christina Cooper,Female,-5,Ahmedabad,unknown,2023-03-30,Laptop,Electronics,0,1499,Cash,Cancelled,5,0,0
137,Justin Brown,Unknown,22,Bengaluru,Delhi,01-06-2024,Mouse,Accessories,3,29999,unknown,unknown,4,89997,0
138,Kimberly Hampton,Unknown,150,Ahmedabad,Maharashtra,2023-12-29,Phone,Electronics,2,599,unknown,unknown,0,1198,0
139,Linda Ford,Unknown,30,Delhi,Maharashtra,10/01/2023,Tablet,Electronics,0,1499,Card,Pending,4,0,0
140,Sean Oconnor,F,150,Bengaluru,Rajasthan,06-01-2023,Phone,Electronics,3,1499,Crypto,unknown,4,4497,0
141,Jack Schwartz,M,22,Ahmedabad,Maharashtra,2023-04-03,Mouse,Accessories,2,500,Crypto,Cancelled,8,1000,0
142,Brent Jones,Unknown,-5,Delhi,Maharashtra,01/10/2023,Keyboard,Accessories,0,500,unknown,Cancelled,8,0,0
143,David Hunter,Female,49,Delhi,Karnataka,09-28-2023,Printer,Electronics,2,29999,UPI,unknown,5,59998,0
144,Randy Walker,F,22,Mumbai,Rajasthan,2024-04-23,Phone,Electronics,2,29999,unknown,Pending,8,59998,0
146,Joshua Sanchez,Female,22,Mumbai,Rajasthan,02-11-2023,Tablet,Electronics,3,1499,Card,Delivered,5,4497,1
147,Joshua Martin,M,-5,Bengaluru,Rajasthan,2023-12-23,Mouse,Accessories,1,599,Cash,Pending,4,599,0
148,Nancy Rice,Male,41,Delhi,Maharashtra,26/04/2024,unknown,Electronics,1,599,Card,unknown,0,599,0
149,Kevin Miller,M,150,Bengaluru,Rajasthan,02-02-2023,Phone,Electronics,0,1499,unknown,Pending,5,0,0
150,Jennifer Adams,Female,150,Ahmedabad,Delhi,2023-01-01,Tablet,Electronics,1,29999,UPI,Delivered,8,29999,1
151,Joshua Rice,Unknown,41,Jaipur,Maharashtra,23/01/2023,Printer,Electronics,1,29999,Card,Delivered,0,29999,1
152,Danielle Lewis,Female,22,Mumbai,Karnataka,01-23-2024,Tablet,Electronics,3,1499,unknown,unknown,3,4497,0
154,Diane Sparks,F,-5,Bengaluru,Gujarat,22/04/2024,Monitor,Electronics,3,599,unknown,Pending,5,1797,0
155,Heather Marshall,Unknown,41,unknown,Rajasthan,03-17-2024,Laptop,Electronics,3,500,unknown,unknown,8,1500,0
156,Desiree Anderson,M,49,Ahmedabad,Maharashtra,2024-05-13,Mouse,Accessories,0,29999,UPI,unknown,3,0,0
157,Jeremy Martinez,F,41,Mumbai,Rajasthan,05/11/2023,Mouse,Accessories,1,29999,unknown,Cancelled,5,29999,0
158,Sara Hernandez,Female,-5,Mumbai,Gujarat,11-05-2023,Printer,Electronics,1,29999,Crypto,unknown,5,29999,0
159,Anthony Short,Male,-5,Mumbai,Karnataka,2024-02-10,Laptop,Electronics,2,599,Card,unknown,3,1198,0
160,James Barber,Unknown,41,Ahmedabad,Karnataka,04/02/2023,Keyboard,Accessories,1,1499,unknown,unknown,5,1499,0
161,Manuel Weeks,F,30,Bengaluru,Maharashtra,08-16-2023,Phone,Electronics,0,29999,unknown,Cancelled,4,0,0
162,Andrew George,M,150,Ahmedabad,unknown,2023-01-14,Mouse,Accessories,0,599,Cash,Cancelled,8,0,0
163,Seth Mcintyre,M,30,Jaipur,Delhi,10/11/2023,Monitor,Electronics,1,500,Card,unknown,3,500,0
164,Paul Briggs,Unknown,22,Bengaluru,Karnataka,05-10-2024,Tablet,unknown,3,29999,Card,Pending,5,89997,0
165,Joseph Cardenas,Female,30,Delhi,Gujarat,2023-04-25,Phone,Electronics,1,29999,Crypto,Cancelled,8,29999,0
166,Katelyn Walker,Male,41,Ahmedabad,Gujarat,08/03/2023,Phone,Electronics,0,500,unknown,Delivered,4,0,1
167,Johnny Todd,M,-5,Bengaluru,Maharashtra,11-25-2023,Phone,Electronics,2,1499,Card,unknown,0,2998,0
168,Laura Bates,F,30,Mumbai,Delhi,2024-03-01,Phone,Electronics,2,29999,unknown,Pending,5,59998,0
169,Amanda Kim,Male,49,Mumbai,Delhi,03/04/2024,Monitor,Electronics,0,29999,Card,Cancelled,0,0,0
171,Keith Roberson,Female,150,Ahmedabad,Karnataka,2023-01-24,Monitor,Electronics,1,500,unknown,Cancelled,3,500,0
172,Caitlyn Figueroa,M,30,Ahmedabad,Maharashtra,04/05/2024,Monitor,Electronics,0,599,unknown,Delivered,4,0,1
173,Roy Martinez,M,30,Mumbai,Karnataka,08-01-2023,Headphones,Accessories,2,29999,unknown,Cancelled,5,59998,0
175,Nicholas Wilson,Male,41,Ahmedabad,Karnataka,14/03/2023,Phone,Electronics,0,1499,Card,Cancelled,0,0,0
176,Christina Burnett,Female,-5,Bengaluru,Gujarat,06-10-2023,Keyboard,Accessories,0,29999,unknown,Delivered,3,0,1
177,Raymond Small,Female,30,Bengaluru,Maharashtra,2023-09-16,Headphones,Accessories,1,599,Cash,unknown,0,599,0
178,Mary Velez,Unknown,150,Jaipur,Rajasthan,11/12/2023,Headphones,Accessories,0,1499,Cash,Cancelled,8,0,0
179,Susan Peters,Male,150,Bengaluru,Delhi,01-24-2023,Printer,Electronics,3,29999,UPI,unknown,0,89997,0
180,Tanya Warner,F,150,Jaipur,Delhi,2024-01-27,Monitor,Electronics,1,500,Cash,Cancelled,0,500,0
181,Heidi Singh,Female,150,Bengaluru,Gujarat,22/01/2024,Mouse,Accessories,0,599,UPI,Delivered,4,0,1
182,Katherine Ochoa,F,49,Ahmedabad,Delhi,06-20-2023,Headphones,Accessories,0,1499,Cash,Cancelled,4,0,0
183,Mr. Joseph Marsh,F,41,Bengaluru,Karnataka,2023-11-12,Monitor,Electronics,0,500,unknown,Cancelled,8,0,0
184,Dr. Kristie Berger,Male,-5,Bengaluru,Maharashtra,08/07/2023,Tablet,Electronics,1,500,Cash,Pending,3,500,0
185,Stephanie Lin,F,150,Ahmedabad,Delhi,09-03-2023,unknown,Accessories,2,599,Crypto,Delivered,4,1198,1
186,Eric Simmons,M,30,unknown,Gujarat,2023-08-14,Tablet,Electronics,2,500,Crypto,unknown,3,1000,0
188,David Williams,Unknown,150,Ahmedabad,Delhi,10-07-2023,Tablet,Electronics,2,29999,Crypto,Cancelled,4,59998,0
189,Kristie Williams,Female,-5,Mumbai,unknown,2024-01-30,Monitor,Electronics,0,29999,Crypto,Cancelled,5,0,0
190,James Phillips,M,41,Delhi,Maharashtra,21/10/2023,Printer,Electronics,1,29999,unknown,Delivered,3,29999,1
191,Gary Mitchell,Unknown,-5,Delhi,Delhi,04-18-2024,Headphones,Accessories,0,29999,Crypto,Cancelled,4,0,0
192,Kimberly Lee,Female,22,Bengaluru,Delhi,2023-11-12,Keyboard,Accessories,2,599,UPI,unknown,5,1198,0
193,Ryan Osborn,Female,22,Bengaluru,Delhi,30/08/2023,Phone,Electronics,0,500,unknown,Pending,5,0,0
194,Lori Villegas,Male,150,Delhi,Karnataka,05-27-2023,Laptop,Electronics,1,1499,unknown,Pending,3,1499,0
195,Matthew Nielsen,Female,49,Mumbai,Rajasthan,2024-02-08,Headphones,Accessories,1,29999,Crypto,Delivered,5,29999,1
196,Kayla Garcia,Female,150,Ahmedabad,Maharashtra,21/08/2023,Headphones,Accessories,2,599,Cash,Pending,8,1198,0
197,Robert Johnson,Male,41,Mumbai,Karnataka,05-12-2023,Mouse,Accessories,2,1499,Crypto,unknown,8,2998,0
198,Paul Lawson,M,22,Delhi,Delhi,2023-06-17,Phone,Electronics,0,29999,Card,Delivered,5,0,1
199,Nicholas Parker,Unknown,41,Mumbai,Karnataka,01/05/2023,Headphones,Accessories,0,599,Cash,Cancelled,4,0,0
200,Stephen White,M,41,Delhi,Gujarat,12-08-2023,Phone,Electronics,0,29999,unknown,Delivered,5,0,1
201,Chad Herrera,Female,30,Ahmedabad,Delhi,2023-11-11,Keyboard,Accessories,0,29999,unknown,unknown,0,0,0
202,Robert Walsh,Female,150,Jaipur,Karnataka,27/02/2024,Keyboard,Accessories,0,29999,UPI,Delivered,3,0,1
205,Timothy Garcia,Male,-5,Mumbai,Rajasthan,11/12/2023,Monitor,unknown,2,599,UPI,unknown,5,1198,0
206,Jeffrey Fleming,Male,-5,Jaipur,Maharashtra,02-02-2023,Laptop,Electronics,0,1499,Card,unknown,5,0,0
207,Michele Allen,M,22,Bengaluru,Delhi,2023-08-18,Printer,Electronics,3,599,Card,unknown,0,1797,0
208,Charles Pruitt,Male,49,Jaipur,Maharashtra,08/01/2024,Keyboard,Accessories,0,500,Crypto,unknown,4,0,0
209,Anthony Chavez,Female,41,Delhi,Rajasthan,08-24-2023,Tablet,Electronics,1,500,Crypto,Delivered,3,500,1
210,Jerome Cruz DDS,Male,150,Jaipur,Gujarat,2023-04-16,Phone,Electronics,0,599,Card,Delivered,8,0,1
211,Ryan Simpson,Male,30,Bengaluru,Maharashtra,30/04/2023,Keyboard,Accessories,2,29999,Crypto,Cancelled,4,59998,0
212,Megan Arnold,F,30,Ahmedabad,Maharashtra,03-24-2024,Mouse,Accessories,3,599,Crypto,Pending,8,1797,0
213,Vanessa Baker,Unknown,-5,Bengaluru,Maharashtra,2023-09-11,Laptop,Electronics,0,500,Card,Cancelled,8,0,0
214,Aaron Alexander,Female,30,Mumbai,Delhi,22/01/2024,Headphones,Accessories,0,599,Crypto,unknown,8,0,0
215,Margaret Williams,M,30,Mumbai,Delhi,09-29-2023,Mouse,Accessories,3,599,unknown,Cancelled,3,1797,0
216,April Rivera,Male,41,Ahmedabad,unknown,2024-01-06,Keyboard,Accessories,0,599,UPI,Pending,0,0,0
217,Valerie Vega,M,30,unknown,Maharashtra,10/12/2023,Keyboard,Accessories,3,599,Card,Pending,3,1797,0
218,Arthur Pham,Female,150,Delhi,Gujarat,01-22-2024,Headphones,Accessories,2,29999,Cash,unknown,8,59998,0
219,Randy Owens,Unknown,41,Mumbai,Karnataka,2023-11-29,Tablet,Electronics,0,500,UPI,unknown,5,0,0
220,Danielle Rodriguez,M,22,Bengaluru,Delhi,09/07/2023,Tablet,Electronics,2,599,Cash,unknown,5,1198,0
222,Carlos Soto,M,30,Mumbai,Delhi,2024-05-09,unknown,Accessories,2,500,Card,Delivered,0,1000,1
223,Daniel Hall,Male,22,Ahmedabad,Delhi,05/03/2024,Phone,Electronics,2,599,unknown,Pending,3,1198,0
224,Calvin Johnson,Unknown,22,Bengaluru,Karnataka,09-16-2023,Headphones,Accessories,0,500,UPI,Delivered,0,0,1
225,Rachel Mathews,Male,150,Mumbai,Karnataka,2023-07-30,Laptop,Electronics,3,599,Crypto,unknown,4,1797,0
226,Charles Meyer,F,30,Delhi,Delhi,15/04/2024,Phone,Electronics,0,29999,Cash,Cancelled,8,0,0
227,Lee Padilla,M,150,Delhi,Delhi,07-11-2023,Printer,Electronics,3,599,unknown,Delivered,3,1797,1
228,Alejandra Ellis,F,-5,Jaipur,Rajasthan,2023-07-14,Printer,Electronics,2,599,unknown,unknown,3,1198,0
229,Christopher Prince,F,22,Bengaluru,Rajasthan,06/02/2024,Tablet,Electronics,2,1499,unknown,unknown,5,2998,0
230,Carl Bailey,Unknown,150,Bengaluru,Rajasthan,04-18-2024,Phone,Electronics,2,29999,UPI,Pending,0,59998,0
231,Cathy Green,Male,41,Delhi,Karnataka,2024-01-21,Printer,Electronics,2,500,unknown,Cancelled,8,1000,0
233,Angela Alexander,Unknown,22,Mumbai,Gujarat,05-03-2024,Printer,Electronics,0,1499,Cash,unknown,8,0,0
234,Anthony Reed,Male,49,Bengaluru,Maharashtra,2023-12-15,Printer,Electronics,2,599,UPI,Cancelled,4,1198,0
235,Antonio Pearson,M,41,Mumbai,Rajasthan,31/12/2023,Mouse,Accessories,1,599,Cash,unknown,5,599,0
236,Andrew Harrison,Male,30,Ahmedabad,Gujarat,02-22-2023,Mouse,Accessories,0,500,UPI,Delivered,3,0,1
