order_id,customer_fullname,gender,age,city,state,order_date,product,category,quantity,unit_price,payment_mode,delivery_status,rating,returned,Total_amount,is_delivered
294,Nicholas Dunn,Male,30,Bengaluru,Gujarat,2023-05-24,Phone,Electronics,3,500,unknown,Delivered,0,true,1500,1
336,Mr. Chad Harrison,Female,150,Bengaluru,Rajasthan,2023-12-30,Printer,Electronics,2,1499,Card,Delivered,4,true,2998,1
401,Sean Simon,Female,150,Mumbai,Delhi,03-24-2023,Mouse,Accessories,1,1499,unknown,Delivered,0,false,1499,1
433,Patricia Holmes,Unknown,41,Delhi,Karnataka,26/05/2023,Tablet,Electronics,2,500,unknown,Delivered,5,true,1000,1
515,Jacob Beltran,Female,150,Bengaluru,Gujarat,02-28-2024,Laptop,Electronics,1,500,Crypto,Delivered,4,false,500,1
574,Cody Harris,Unknown,30,Mumbai,Maharashtra,17/12/2023,Headphones,unknown,2,599,UPI,Delivered,3,,1198,1
584,Melissa Chang,M,22,Ahmedabad,Delhi,12-19-2023,Tablet,Electronics,2,599,Card,Delivered,0,true,1198,1
607,Michael Guzman,M,30,Delhi,Maharashtra,21/01/2024,Laptop,Electronics,3,1499,unknown,Delivered,3,false,4497,1
753,Kelly Thompson,Female,-5,Jaipur,Karnataka,2023-06-24,Printer,Electronics,3,500,Cash,Delivered,3,true,1500,1
785,Leslie Ramos,F,41,Ahmedabad,Maharashtra,05-08-2024,Tablet,Electronics,2,599,unknown,Delivered,8,true,1198,1
925,Joshua Davis,Unknown,49,Bengaluru,Rajasthan,2024-03-08,Printer,Electronics,1,599,UPI,Delivered,0,false,599,1
18,Michael Jenkins,F,30,Jaipur,Rajasthan,2023-10-11,Keyboard,Accessories,1,1499,UPI,Delivered,5,true,1499,1
227,Lee Padilla,M,150,Delhi,Delhi,07-11-2023,Printer,Electronics,3,599,unknown,Delivered,3,false,1797,1
283,Brian Reyes,Unknown,-5,Delhi,Rajasthan,21/11/2023,Phone,Electronics,2,599,unknown,Delivered,8,,1198,1
431,Paul Sullivan,F,30,Jaipur,Maharashtra,02-06-2024,Keyboard,Accessories,2,599,Card,Delivered,5,false,1198,1
554,Elizabeth Garcia,Unknown,150,Mumbai,Gujarat,12-15-2023,Tablet,Electronics,3,599,Crypto,Delivered,0,,1797,1
875,Margaret Barnes,M,-5,Mumbai,Karnataka,04-03-2023,Printer,Electronics,2,599,Cash,Delivered,0,true,1198,1
943,Eric Mclean,Male,30,Mumbai,Delhi,21/03/2024,Mouse,unknown,1,1499,UPI,Delivered,0,false,1499,1
10,Tiffany James DDS,F,-5,Mumbai,Delhi,15/05/2023,Printer,Electronics,2,500,UPI,Delivered,3,true,1000,1
115,Christopher Gallagher,M,41,Mumbai,Maharashtra,18/02/2023,Tablet,Electronics,2,500,UPI,Delivered,3,true,1000,1
150,Jennifer Adams,Female,150,Ahmedabad,Delhi,2023-01-01,Tablet,Electronics,1,29999,UPI,Delivered,8,false,29999,1
209,Anthony Chavez,Female,41,Delhi,Rajasthan,08-24-2023,Tablet,Electronics,1,500,Crypto,Delivered,3,true,500,1
243,Daniel Ford,Unknown,22,Bengaluru,unknown,2023-05-24,Printer,Electronics,2,1499,unknown,Delivered,8,,2998,1
250,Jade Stewart,Male,-5,Ahmedabad,Maharashtra,28/06/2023,Headphones,Accessories,1,29999,UPI,Delivered,3,false,29999,1
278,David Myers,Female,150,Bengaluru,Karnataka,03-24-2024,Monitor,Electronics,2,500,Cash,Delivered,4,false,1000,1
293,Michael Johnson,Unknown,22,Delhi,Karnataka,01-24-2024,Printer,Electronics,2,500,unknown,Delivered,4,,1000,1
473,Brandy Huffman,M,30,Jaipur,Gujarat,02-08-2024,Tablet,Electronics,3,1499,Cash,Delivered,8,,4497,1
539,David Murphy,M,150,Jaipur,Rajasthan,01-19-2023,Headphones,Accessories,3,599,unknown,Delivered,5,false,1797,1
761,Kenneth Hill,Unknown,30,Bengaluru,Karnataka,05-09-2023,Printer,Electronics,3,599,Card,Delivered,5,true,1797,1
864,Vincent Martinez,Female,-5,Ahmedabad,unknown,2024-02-22,Monitor,Electronics,2,29999,Card,Delivered,0,false,59998,1
146,Joshua Sanchez,Female,22,Mumbai,Rajasthan,02-11-2023,Tablet,Electronics,3,1499,Card,Delivered,5,false,4497,1
280,Todd Mills,Unknown,150,Delhi,Gujarat,16/03/2024,Printer,Electronics,1,599,Crypto,Delivered,3,false,599,1
311,Michael Carroll,Unknown,150,Delhi,Delhi,09-02-2023,Laptop,Electronics,3,1499,Cash,Delivered,3,true,4497,1
355,Douglas Ross,Female,-5,Jaipur,Delhi,03/07/2023,Keyboard,Accessories,2,1499,Card,Delivered,0,,2998,1
537,Dorothy Henry,Female,22,Mumbai,Rajasthan,2023-04-21,Monitor,Electronics,2,599,unknown,Delivered,8,,1198,1
566,Caitlin Kirk,Unknown,30,Bengaluru,Maharashtra,02-09-2023,Monitor,Electronics,3,29999,UPI,Delivered,0,true,89997,1
573,Brian Savage,Unknown,150,Jaipur,Rajasthan,2023-12-13,Mouse,Accessories,1,599,unknown,Delivered,0,true,599,1
635,Michelle Thomas,Male,41,Bengaluru,Karnataka,12-18-2023,Headphones,Accessories,1,29999,Card,Delivered,4,false,29999,1
642,Joseph Thompson,Female,41,Delhi,Delhi,2024-03-14,Mouse,Accessories,2,599,unknown,Delivered,3,true,1198,1
702,Darlene Perry,Male,49,Mumbai,unknown,2023-02-18,Tablet,Electronics,1,500,Cash,Delivered,5,true,500,1
726,Cole Swanson,Male,150,Delhi,Gujarat,2023-11-13,Keyboard,Accessories,3,29999,Cash,Delivered,0,false,89997,1
63,Jason Warren,Female,41,Mumbai,Maharashtra,2023-04-04,Headphones,Accessories,3,29999,Crypto,Delivered,0,true,89997,1
240,William Johnson,F,150,Delhi,Gujarat,2024-01-05,Headphones,Accessories,1,1499,Cash,Delivered,8,false,1499,1
292,Ashley Rodriguez,Female,22,Ahmedabad,Rajasthan,06/04/2024,Keyboard,Accessories,2,29999,unknown,Delivered,5,true,59998,1
589,Curtis Reese,Male,30,unknown,Gujarat,14/02/2024,Keyboard,Accessories,3,500,Cash,Delivered,3,,1500,1
732,Daniel Sanchez,F,41,Jaipur,Gujarat,2024-04-04,Headphones,Accessories,2,599,unknown,Delivered,3,false,1198,1
795,Hailey Reyes,F,-5,Ahmedabad,Gujarat,2023-12-31,Tablet,Electronics,3,500,unknown,Delivered,4,true,1500,1
820,John Summers,Female,30,Jaipur,Karnataka,25/02/2024,Monitor,unknown,1,1499,Cash,Delivered,0,,1499,1
942,Carrie Lawson,M,22,Ahmedabad,Maharashtra,2023-12-27,Mouse,Accessories,1,599,unknown,Delivered,8,,599,1
50,William Larson,Female,22,Ahmedabad,Gujarat,12-22-2023,Mouse,Accessories,3,500,unknown,Delivered,4,false,1500,1
388,Ann Crawford,Male,41,Ahmedabad,Delhi,27/10/2023,Monitor,Electronics,1,1499,Cash,Delivered,0,,1499,1
394,Philip Sampson,Female,30,Ahmedabad,Rajasthan,04/01/2023,Phone,Electronics,2,500,unknown,Delivered,4,true,1000,1
429,Ryan Peterson,Male,49,Mumbai,Delhi,2023-08-11,Phone,Electronics,3,599,Crypto,Delivered,8,false,1797,1
651,Sarah Bruce,Female,22,unknown,Gujarat,2024-04-25,Tablet,Electronics,1,500,unknown,Delivered,3,true,500,1
738,Joseph Estrada,Unknown,41,Bengaluru,Maharashtra,2024-01-10,Laptop,unknown,1,599,unknown,Delivered,8,false,599,1
747,Rita Torres,Female,30,Ahmedabad,Rajasthan,2024-03-31,Monitor,Electronics,1,29999,UPI,Delivered,8,false,29999,1
858,Joseph Young,Female,49,Delhi,Delhi,2023-12-06,Keyboard,Accessories,1,599,unknown,Delivered,4,false,599,1
362,Joshua Jones,M,41,Mumbai,Gujarat,11-26-2023,Keyboard,Accessories,1,599,Card,Delivered,5,false,599,1
590,Alexander Harris,Unknown,30,Jaipur,Karnataka,10-22-2023,Mouse,Accessories,2,29999,UPI,Delivered,5,true,59998,1
621,Aimee Brown,M,41,Mumbai,unknown,2023-06-12,Mouse,Accessories,2,1499,Crypto,Delivered,5,false,2998,1
712,Alicia Brown,F,22,Jaipur,Gujarat,27/10/2023,Phone,Electronics,2,1499,unknown,Delivered,3,false,2998,1
824,Darren Fisher,Male,30,Jaipur,Delhi,06-22-2023,Keyboard,Accessories,2,599,unknown,Delivered,5,false,1198,1
129,Ryan Hamilton,F,150,Delhi,Maharashtra,2023-11-21,Phone,Electronics,3,1499,Card,Delivered,4,false,4497,1
276,Kimberly Wallace,M,150,Ahmedabad,Delhi,2024-01-19,Mouse,Accessories,1,599,Card,Delivered,0,,599,1
321,Ashley Carson,M,150,Bengaluru,Maharashtra,2024-05-13,Keyboard,Accessories,3,29999,Card,Delivered,3,false,89997,1
325,David Jordan,M,49,Ahmedabad,Maharashtra,23/01/2023,Monitor,Electronics,2,29999,Crypto,Delivered,4,,59998,1
342,Amy Gomez,F,22,Jaipur,Karnataka,2023-12-13,Printer,Electronics,3,29999,Cash,Delivered,3,false,89997,1
361,Sara Wilson,Male,150,Ahmedabad,Delhi,10/12/2023,Phone,Electronics,1,599,unknown,Delivered,3,false,599,1
497,Deborah Jackson,M,22,Delhi,Delhi,11-16-2023,Mouse,Accessories,3,1499,unknown,Delivered,3,,4497,1
520,Debra Vazquez,F,49,Delhi,Delhi,12/04/2024,Tablet,Electronics,2,1499,unknown,Delivered,8,false,2998,1
917,Michael Brooks,Unknown,22,Bengaluru,Rajasthan,05-21-2023,Mouse,Accessories,2,500,unknown,Delivered,4,false,1000,1
947,Taylor French,Unknown,30,Ahmedabad,Karnataka,13/06/2023,Laptop,Electronics,3,1499,Crypto,Delivered,8,false,4497,1
134,Michael Wade,F,30,Jaipur,Gujarat,11-06-2023,Headphones,Accessories,1,29999,unknown,Delivered,0,,29999,1
302,Luis Mcgrath,Male,22,Delhi,Gujarat,05-13-2023,Phone,Electronics,2,599,Cash,Delivered,3,false,1198,1
548,Laura Scott,Unknown,41,Bengaluru,Karnataka,03-09-2024,Mouse,Accessories,2,599,unknown,Delivered,5,,1198,1
643,Cody Wood,M,22,Delhi,Rajasthan,01/02/2024,Headphones,Accessories,1,599,unknown,Delivered,5,true,599,1
670,Sara Warner,F,-5,Delhi,Gujarat,27/12/2023,Mouse,Accessories,3,500,Crypto,Delivered,0,true,1500,1
733,Jacob Baxter,Female,-5,Jaipur,Gujarat,11/06/2023,Printer,Electronics,1,1499,Crypto,Delivered,0,false,1499,1
766,Kimberly Osborn,M,22,Delhi,Rajasthan,09/07/2023,Keyboard,Accessories,3,29999,Card,Delivered,0,,89997,1
810,John King,M,30,Jaipur,unknown,2024-03-16,Printer,Electronics,2,500,unknown,Delivered,8,true,1000,1
868,Samuel Brown,F,-5,unknown,Rajasthan,17/04/2024,Keyboard,Accessories,2,29999,Crypto,Delivered,5,false,59998,1
